Status,Classification,Severity,Action,Merge Extra,Merge Key
Triaged,Bug,Major,Fix Required,HTML_PCDATA reportType,3c79b76f211d56358abebfeb5615731e
Triaged,Bug,Unspecified,Undecided,"java.sql.DriverManager.getConnection(java.lang.String, java.lang.String, java.lang.String)java.sql.Connection",256dd348b755525cff6bbaf6634fc08c
Triaged,Bug,Unspecified,Undecided,outputForInitExecSync/outputForInitExecSync,e65e9c766ade21a3fbbaf1004c79737d
Triaged,Bug,Unspecified,Undecided,database,50446139279275266f2abc8aa38d9766
Triaged,Bug,Unspecified,Undecided,_ttype,bd20ba4c55b8a7794ff58b319dd5efd4
Triaged,Bug,Unspecified,Undecided,,1758757f942091359b81d5069544d749
Triaged,Bug,Unspecified,Undecided,,d838c2a12ff51c5e5fb014408286c60a
Triaged,Bug,Unspecified,Undecided,"HTML_PCDATA getValue,locale,obs,this",de353797d8f1d550f88d04f88d0d5342
Triaged,Bug,Unspecified,Undecided,preferredName,a0e7f4adfcb66970c3774465c94aa9e2
Triaged,Bug,Unspecified,Undecided,filename,aeebd96f60bccc5925663c3189f69c1b
Triaged,Bug,Unspecified,Undecided,"passwordToHash,digest,input,md",e26b850b7a5e2c4dcf663c929a8466f0
Triaged,Bug,Unspecified,Undecided,FileOutputStream,15a547708997b382e7b0b9e9513b81f5
Triaged,Bug,Unspecified,Undecided,getPatientSet,a928821885303e09ffa1e00adc6ace46
Triaged,Bug,Unspecified,Undecided,className,35a06991301e4fe095c492fbcb62b36b
Triaged,Bug,Unspecified,Undecided,,1cb24472128259175fb8def035bf28f5
Triaged,Bug,Unspecified,Undecided,,686c9c1776474e037b8a32203d579d58
Triaged,Bug,Unspecified,Undecided,personAType,a5057c89d6321733687a9598ef1c77c8
